id;price;address;neighborhood/city;rooms;garage;bathroom;square_meter;type;suite;gym;balcony;hall;transaction_type;lat;long
196346;585000;Avenida Conselheiro Nébias; Boqueirão;1;1;2;47;2;1;0;0;0;Alguel;-23.9705733;-46.3240404
643595;316000;Rua Almirante Protógenes Guimarães; Ipiranga;3;3;3;227;9;1;0;0;0;Alguel;-23.5965955;-46.6032314
199272;60000;Rua Miosótis; Usina;1;0;1;500;8;0;0;0;0;Alguel;;
607614;410010;Avenida Augusto Franco; Getúlio Vargas;3;1;2;78;2;0;0;0;0;Alguel;-10.909774;-37.0662373
683307;239000;Rodovia Mário Covas; Coqueiro;2;1;2;46;2;0;0;0;0;Alguel;-1.3469557;-48.434721
163386;60000;Rua José Prianti Sobrinho; Centro;1;0;1;600;8;0;0;0;0;Alguel;;
152052;700000;Rua Teresinha Farias; Fátima;3;2;2;105;2;1;1;0;0;Alguel;-5.0653362;-42.78608
847655;90000;Rua Nelson Gonçalves; Chacara Itapoa;1;0;1;1000;8;0;0;0;0;Alguel;;
920258;35000;Avenida Manoel Ferraz de Campos Sales; Ouro Fino;1;0;1;1000;8;0;0;0;0;Alguel;;
602937;473700;Rua Constantino Abreu Araújo; Parque Yolanda;3;2;4;153;6;1;0;0;0;Alguel;;
533929;1489995;Rua Aviador Severiano Lins; Boa Viagem;4;2;6;138;2;1;0;0;0;Alguel;-8.1100988;-34.8942375
194100;35000;Centro; Santa Isabel;1;0;1;1000;8;0;0;0;0;Alguel;-15.3000401;-49.4271365
720911;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0;Alguel;;
327401;50000;Alameda Aldeia Pitoresca; Barreiro;1;0;1;1000;8;0;0;0;0;Alguel;-23.3310647;-46.5908409
698199;35000;Rua Santa Isabel; Ouro Fino;1;0;1;1000;8;0;0;0;0;Alguel;;
820083;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0;Alguel;;
23019;35000;Estrada do Ouro Fino; Centro;1;0;1;1000;8;0;0;0;0;Alguel;-22.2941505;-46.3651907
92091;250000;Rua José Prianti Sobrinho; Parque Alpina;1;0;1;500;9;0;0;0;0;Alguel;;
466370;29900;Rua Albino Rodrigues Neves; Centro;1;0;1;500;8;0;0;0;0;Alguel;-23.3952774;-46.327251
297483;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0;Alguel;-27.2756702;-48.8501803
503968;50000;Travessa Alcebíades Fagundes; Centro;1;0;1;1000;8;0;0;0;0;Alguel;;
381127;55000;Avenida José Prianti Sobrinho; Recanto das Águas;1;0;1;600;9;0;0;0;0;Alguel;;
96534;49900;Rua José Alvim; Centro;1;0;1;600;8;0;0;0;0;Alguel;-23.1168611;-46.5537288
231558;70000;Avenida José Prianti Sobrinho; Recanto das Águas;1;0;1;1000;8;0;0;0;0;Alguel;;
537593;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0;Alguel;-27.2756702;-48.8501803
708618;462718;Rua Cândido Lacerda; Torreão;2;1;2;57;9;0;0;0;0;Alguel;-8.0404865;-34.8834305
429411;120000;Rua de Igaratá; Jardim Alvorada;1;0;1;300;8;0;0;0;0;Alguel;;
773298;29900;Avenida Manoel Ferraz de Campos Sales; Centro;1;0;1;500;8;0;0;0;0;Alguel;;
442929;90000;Avenida Coronel Ernesto Andrade Alves; Água Espraiada;1;0;1;500;8;0;0;0;0;Alguel;;
568346;250000;Rua José Prianti Sobrinho; Parque Alpina;1;0;1;500;9;0;0;0;0;Alguel;;
485847;25000;Rua José Prianti Sobrinho; 415;1;0;1;500;8;0;0;0;0;Alguel;;
399965;29900;Rua Sergio Saleh Riman; Center Ville;1;0;1;500;8;0;0;0;0;Alguel;-23.3899331;-46.3247545
81307;29900;Avenida Manoel Ferraz de Campos Sales; Centro;1;0;1;500;8;0;0;0;0;Alguel;;
107650;35000;Rua Santa Isabel; Ouro Fino;1;0;1;1000;8;0;0;0;0;Alguel;;
437184;59900;Rua José Prianti Sobrinho; Centro;1;0;1;600;8;0;0;0;0;Alguel;;
709857;29990;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0;Alguel;;
631777;513900;Rua Irmãs Paulinas; Novo Mundo;2;1;2;62;2;1;0;0;0;Alguel;-25.4900755;-49.2916342
