id;price;address;neighborhood/city;rooms;garage;bathroom;square_meter;type;suite;gym;balcony;hall
317680;35000;Centro; Santa Isabel;1;0;1;1000;8;0;0;0;0
763511;49900;Rua João José Batista; Conforto;1;0;1;600;8;0;0;0;0
368514;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0
667797;30000;Centro; Santa Isabel;1;0;1;500;8;0;0;0;0
556303;49900;Rua José Prianti Sobrinho; Centro;1;0;1;600;8;0;0;0;0
638086;149900;Avenida Rio das Pedras; Piracicamirim;2;parking1;1;46;2;0;0;0;0
824300;49900;Rua José Prianti Sobrinho; Centro;1;0;1;600;9;0;0;0;0
311070;30000;Rua Albino Rodrigues Neves; Center Ville;1;0;1;500;8;0;0;0;0
292721;255000;Rua Luiz Carlucci Sobrinho; Residencial e Comercial Palmares;2;parking2;2;62;2;1;0;1;0
457989;30000;Rua Albino Rodrigues Neves; Center Ville;1;0;1;500;8;0;0;0;0
915947;49900;Rua José Prianti Sobrinho; Centro;1;0;1;600;8;0;0;0;0
554967;150000;Avenida José Prianti Sobrinho; Centro;1;0;1;500;8;0;0;0;0
583753;29990;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
310004;365000;Avenida Caramuru; Jardim Republica;3;parking2;2;84;9;1;0;0;0
375044;288000;Rua Antônio Fernandes Leite; Jardim Santo Antonio;2;parking1;2;57;2;0;0;0;0
112749;35000;Avenida Manoel Ferraz de Campos Sales; Ouro Fino;1;0;1;1000;8;0;0;0;0
250687;90000;Rua José Prianti Sobrinho; Centro;1;0;1;1000;8;0;0;0;0
7148;60000;Rua Farroupilhas; Vila Santista;1;0;1;500;8;0;0;0;0
653701;30000;Rua Silvina de Camargo; Vila Lima;1;0;1;500;8;0;0;0;0
327456;60000;Estrada Planalto; Vila Santista;1;0;1;500;8;0;0;0;0
103346;29990;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
798608;30000;Avenida João Manoel; Centro;1;0;1;500;8;0;0;0;0
971905;35000;Centro; Santa Isabel;1;0;1;1000;8;0;0;0;0
409621;250000;Rua José Prianti Sobrinho; Parque Alpina;1;0;1;500;9;0;0;0;0
566998;30000;Estrada do Kondo; Pedreira;1;0;1;500;8;0;0;0;0
354215;29900;Avenida Manoel Ferraz de Campos Sales; Centro;1;0;1;500;8;0;0;0;0
305839;79900;Avenida P.L. do Brasil; Centro;1;0;1;1000;8;0;0;0;0
222756;140000;Rua Rio das Canas; Centro;3;parking1;1;60;2;0;0;0;0
30264;120000;Estrada Antiga de Igaratá; Chacaras Reunidas Igarapés;1;0;1;300;8;0;0;0;0
259807;60000;Rua José Prianti Sobrinho; Parque Alpina;1;0;1;600;6;0;0;0;0
73736;60000;Rua José Prianti Sobrinho; Centro;1;0;1;600;8;0;0;0;0
73974;369900;Avenida Dois Córregos; Piracicamirim;3;parking2;2;70;2;1;0;0;0
476465;178350;Forquilha; São José de Ribamar;2;parking1;2;50;9;0;0;0;0
505784;35000;Centro; Santa Isabel;1;0;1;1000;8;0;0;0;0
269200;49900;Rua José Prianti Sobrinho; Centro;1;0;1;600;8;0;0;0;0
685274;30000;Rua Major Benjamin Franco; Centro;1;0;1;500;8;0;0;0;0
532005;29900;Rua Elpidio Ferreira Guimarães; Center Ville;1;0;1;500;8;0;0;0;0
578095;29999;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
52960;30000;Avenida dos Expedicionários; Jardim Rincão;1;0;1;500;8;0;0;0;0
245660;60000;Estrada Municipal da Pedra Grande; Laranja Azeda;1;0;1;500;8;0;0;0;0
76711;29999;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
225104;253410;Araçagy; São José de Ribamar;2;parking1;2;57;9;0;0;0;0
263692;30000;Rua Aires Monteiro; Center Ville;1;0;1;500;8;0;0;0;0
534489;30000;Avenida Antonio Afonso de Lima; Centro;1;0;1;500;8;0;0;0;0
247350;950000;Rua Mário Savi; Vila Prudente;3;parking4;2;140;5;0;0;0;0
544031;260000;Califórnia; Belo Horizonte;3;parking1;1;62;2;0;0;0;0
15815;1200000;Jardim Europa; Goiânia;10;parking10;10;400;2;0;0;0;0
853930;149900;Avenida Rio das Pedras; Piracicamirim;2;parking1;1;46;2;0;0;0;0
760112;29900;Avenida João Manoel; Centro;1;0;1;500;8;0;0;0;0
999635;45000;Rua José Prianti Sobrinho; 415;1;0;1;1000;8;0;0;0;0
427565;550000;Rua Guilherme Guittman; Zona Nova;2;parking1;2;69;9;1;0;0;0
927185;29999;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
192802;29900;Avenida João Manoel; Centro;1;0;1;500;8;0;0;0;0
839426;150000;Avenida José Prianti Sobrinho; Centro;1;0;1;500;8;0;0;0;0
846705;60000;Estrada Vicinal Municipal Ivo Mário Isaac Pires; Haras Santa Bárbara;1;0;1;600;8;0;0;0;0
125902;35000;Centro; Santa Isabel;1;0;1;1000;8;0;0;0;0
373919;55000;Águas Claras; Viamão;1;0;1;645;8;0;0;0;0
474482;49900;Rua João José Batista; Conforto;1;0;1;600;8;0;0;0;0
980303;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0
254295;29900;Praça Dalila Ferreira Barbosa; Jardim Modelo;1;0;1;500;8;0;0;0;0
609164;30000;Centro; Santa Isabel;1;0;1;500;8;0;0;0;0
341824;49900;Rua José Prianti Sobrinho; Centro;1;0;1;600;8;0;0;0;0
806981;149900;Avenida Rio das Pedras; Piracicamirim;2;parking1;1;46;2;0;0;0;0
190322;49900;Rua José Prianti Sobrinho; Centro;1;0;1;600;9;0;0;0;0
340303;60000;Avenida Professor Carlos Alberto de Carvalho Pinto; Usina;1;0;1;500;8;0;0;0;0
659652;30000;Estrada dos Correas; Canjicas;1;0;1;500;8;0;0;0;0
695088;30000;Rua Albino Rodrigues Neves; Center Ville;1;0;1;500;8;0;0;0;0
923962;50000;Rua XV de Novembro; Rio Abaixo;1;0;1;1000;8;0;0;0;0
640109;30000;Rua Albino Rodrigues Neves; Center Ville;1;0;1;500;8;0;0;0;0
122593;49900;Rua José Prianti Sobrinho; Centro;1;0;1;600;8;0;0;0;0
67466;150000;Avenida José Prianti Sobrinho; Centro;1;0;1;500;8;0;0;0;0
257588;206500;Rua General Artur Carvalho; Turu;2;parking1;1;49;2;0;0;0;0
202030;29990;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
53894;288000;Rua Antônio Fernandes Leite; Jardim Santo Antonio;2;parking1;2;57;2;0;0;0;0
373519;35000;Avenida Manoel Ferraz de Campos Sales; Ouro Fino;1;0;1;1000;8;0;0;0;0
755735;90000;Rua José Prianti Sobrinho; Centro;1;0;1;1000;8;0;0;0;0
433301;60000;Rua Farroupilhas; Vila Santista;1;0;1;500;8;0;0;0;0
471622;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0
952239;60000;Estrada Vicinal Municipal Ivo Mário Isaac Pires; Morada Santa Fe;1;0;1;600;8;0;0;0;0
632317;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0
122488;30000;Rua Silvina de Camargo; Vila Lima;1;0;1;500;8;0;0;0;0
287788;60000;Estrada Planalto; Vila Santista;1;0;1;500;8;0;0;0;0
468954;29990;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
631332;70000;Rua Miosótis; Usina;1;0;1;700;9;0;0;0;0
667024;30000;Avenida João Manoel; Centro;1;0;1;500;8;0;0;0;0
12113;35000;Centro; Santa Isabel;1;0;1;1000;8;0;0;0;0
821756;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0
63335;250000;Rua José Prianti Sobrinho; Parque Alpina;1;0;1;500;9;0;0;0;0
70948;30000;Estrada do Kondo; Pedreira;1;0;1;500;8;0;0;0;0
952656;29900;Avenida Manoel Ferraz de Campos Sales; Centro;1;0;1;500;8;0;0;0;0
590627;79900;Avenida P.L. do Brasil; Centro;1;0;1;1000;8;0;0;0;0
449194;120000;Estrada Antiga de Igaratá; Chacaras Reunidas Igarapés;1;0;1;300;8;0;0;0;0
799969;375000;Rua Dona Julieta; Encruzilhada;3;parking1;2;61;9;0;0;0;0
408363;70000;Rua Pinto Martins; Comércio;2;parking1;1;100;6;1;0;0;0
536438;50000;Rua XV de Novembro; Rio Abaixo;1;0;1;1000;8;0;0;0;0
719390;60000;Rua José Prianti Sobrinho; Centro;1;0;1;600;8;0;0;0;0
124605;178350;Forquilha; São José de Ribamar;2;parking1;2;50;9;0;0;0;0
108081;35000;Centro; Santa Isabel;1;0;1;1000;8;0;0;0;0
776225;49900;Rua José Prianti Sobrinho; Centro;1;0;1;600;8;0;0;0;0
353190;30000;Rua Major Benjamin Franco; Centro;1;0;1;500;8;0;0;0;0
877382;29900;Rua Elpidio Ferreira Guimarães; Center Ville;1;0;1;500;8;0;0;0;0
269646;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
825956;29999;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
352656;30000;Avenida dos Expedicionários; Jardim Rincão;1;0;1;500;8;0;0;0;0
861480;60000;Estrada Municipal da Pedra Grande; Laranja Azeda;1;0;1;500;8;0;0;0;0
343355;29999;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
275521;253410;Araçagy; São José de Ribamar;2;parking1;2;57;9;0;0;0;0
713143;206500;Rua General Artur Carvalho; Turu;2;parking1;1;49;2;0;0;0;0
4234;30000;Rua Aires Monteiro; Center Ville;1;0;1;500;8;0;0;0;0
783859;30000;Avenida Antonio Afonso de Lima; Centro;1;0;1;500;8;0;0;0;0
303925;90000;Rua Doutor Aloysio Affonso Nogueira; Recanto das Estrelas ;1;0;1;500;8;0;0;0;0
413805;30000;Avenida dos Expedicionários; Jardim Rincão;1;0;1;500;8;0;0;0;0
692511;250000;Avenida José Prianti Sobrinho; Centro;1;0;1;500;8;0;0;0;0
298590;30000;Rua Sergio Saleh Riman; Center Ville;1;0;1;500;8;0;0;0;0
625994;30000;Avenida João Manoel; Centro;1;0;1;500;8;0;0;0;0
910430;60000;Estrada Vicinal Municipal Ivo Mário Isaac Pires; Candido Pinto Caucaia do Alto;1;0;1;600;8;0;0;0;0
417581;30000;Rua Sergio Saleh Riman; Center Ville;1;0;1;500;8;0;0;0;0
109447;50000;Gereraú; Itaitinga;2;parking1;2;90;6;0;0;0;0
669304;60000;Estrada Vicinal Municipal Ivo Mário Isaac Pires; Capelinha;1;0;1;600;8;0;0;0;0
453289;60000;Rua José Prianti Sobrinho; Recanto das Águas;1;0;1;600;6;0;0;0;0
269710;35000;Rua Santa Isabel; Ouro Fino;1;0;1;1000;8;0;0;0;0
409048;34999;Centro; Igaratá;1;0;1;600;6;0;0;0;0
838603;60000;Rua Francisco da Silveira Franco; Jardim Itaperi;1;0;1;500;8;0;0;0;0
197280;70000;Avenida Bolívar; Centro;1;0;1;422;8;0;0;0;0
504309;29990;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
659008;60000;Rua José Prianti Sobrinho; Centro;1;0;1;600;9;0;0;0;0
195238;35000;Centro; Santa Isabel;1;0;1;1000;8;0;0;0;0
382885;60000;Rua José Prianti Sobrinho; Centro;1;0;1;600;8;0;0;0;0
703426;49900;Rua Marechal Deodoro; Centro;1;0;1;600;8;0;0;0;0
316408;30000;Avenida P.L. do Brasil; Centro;1;0;1;500;8;0;0;0;0
719505;570000;Rua das Rosas; Urucunema;3;parking2;4;145;6;1;0;1;0
181292;250000;Rua Neides de Vasconcelos Sampaio; Santa Margarida I Tamoios;2;parking2;2;60;6;0;0;0;0
53453;59900;Rua José Prianti Sobrinho; Centro;1;0;1;600;8;0;0;0;0
249555;90000;Rua Cora Coralina; Do Mato Dentro;1;0;1;1000;9;0;0;0;0
680038;59900;Rua Marechal Deodoro; Centro;1;0;1;600;8;0;0;0;0
368671;30000;Avenida dos Expedicionários; Jardim Rincão;1;0;1;500;8;0;0;0;0
453660;30000;Rua Silvina de Camargo; Vila Lima;1;0;1;500;8;0;0;0;0
463547;379991;Rua do Pesque e Pague; Nova Abrantes Abrantes;2;parking2;2;70;6;1;0;0;0
590760;29900;Avenida Manoel Ferraz de Campos Sales; Centro;1;0;1;500;8;0;0;0;0
930422;25000;Boa Vista; Igaratá;1;0;1;500;8;0;0;0;0
809816;30000;Avenida P.L. do Brasil; Centro;1;0;1;500;8;0;0;0;0
142160;30000;Avenida dos Expedicionários; Vila Flora Regina;1;0;1;500;8;0;0;0;0
800460;49900;Rua José Prianti Sobrinho; Centro;1;0;1;600;8;0;0;0;0
66801;60000;Recanto das Águas; Igaratá;1;0;1;600;8;0;0;0;0
